date,tag,published,asset,downloads
2026-09-03,v1.17.0,2026-09-02,ScreenInk-1.17.0-x64.msi,2
2026-09-03,v1.18.0,2026-09-03,ScreenInk-1.18.0-x64.msi,0
2026-09-04,v1.17.0,2026-09-02,ScreenInk-1.17.0-x64.msi,2
2026-09-04,v1.18.0,2026-09-03,ScreenInk-1.18.0-x64.msi,1
2026-09-04,v1.19.0,2026-09-03,ScreenInk-1.19.0-x64.msi,0
2026-09-05,v1.17.0,2026-09-02,ScreenInk-1.17.0-x64.msi,2
2026-09-05,v1.18.0,2026-09-03,ScreenInk-1.18.0-x64.msi,1
2026-09-05,v1.19.0,2026-09-03,ScreenInk-1.19.0-x64.msi,2
2026-09-06,v1.17.0,2026-09-02,ScreenInk-1.17.0-x64.msi,3
2026-09-06,v1.18.0,2026-09-03,ScreenInk-1.18.0-x64.msi,2
2026-09-06,v1.19.0,2026-09-03,ScreenInk-1.19.0-x64.msi,3
2026-09-07,v1.17.0,2026-09-02,ScreenInk-1.17.0-x64.msi,3
2026-09-07,v1.18.0,2026-09-03,ScreenInk-1.18.0-x64.msi,2
2026-09-07,v1.19.0,2026-09-03,ScreenInk-1.19.0-x64.msi,3
2026-09-08,v1.17.0,2026-09-02,ScreenInk-1.17.0-x64.msi,3
2026-09-08,v1.18.0,2026-09-03,ScreenInk-1.18.0-x64.msi,2
2026-09-08,v1.19.0,2026-09-03,ScreenInk-1.19.0-x64.msi,3
2026-09-09,v1.17.0,2026-09-02,ScreenInk-1.17.0-x64.msi,3
2026-09-09,v1.18.0,2026-09-03,ScreenInk-1.18.0-x64.msi,2
2026-09-09,v1.19.0,2026-09-03,ScreenInk-1.19.0-x64.msi,5
2026-09-10,v1.17.0,2026-09-02,ScreenInk-1.17.0-x64.msi,3
2026-09-10,v1.18.0,2026-09-03,ScreenInk-1.18.0-x64.msi,2
2026-09-10,v1.19.0,2026-09-03,ScreenInk-1.19.0-x64.msi,5
